id_mesure,id_capteur,date_heure_mesure,valeur_mesuree,unite_mesure,qualite
1,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-06 23:57:25,30.91,µg/m³,bonne
2,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 00:27:25,48.3,µg/m³,moyenne
3,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 00:57:25,23.1,µg/m³,bonne
4,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 01:27:25,84.32,µg/m³,mauvaise
5,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 01:57:25,47.06,µg/m³,moyenne
6,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 02:27:25,18.15,µg/m³,bonne
7,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 02:57:25,68.99,µg/m³,mauvaise
8,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 03:27:25,32.8,µg/m³,bonne
9,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 03:57:25,69.25,µg/m³,mauvaise
10,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 04:27:25,83.34,µg/m³,mauvaise
11,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 04:57:25,53.38,µg/m³,moyenne
12,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 05:27:25,80.27,µg/m³,mauvaise
13,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 05:57:25,76.85,µg/m³,mauvaise
14,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 06:27:25,37.29,µg/m³,moyenne
15,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 06:57:25,65.77,µg/m³,mauvaise
16,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 07:27:25,36.02,µg/m³,moyenne
17,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 07:57:25,42.23,µg/m³,moyenne
18,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 08:27:25,34.76,µg/m³,bonne
19,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 08:57:25,42.54,µg/m³,moyenne
20,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 09:27:25,27.09,µg/m³,bonne
21,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 09:57:25,26.39,µg/m³,bonne
22,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 10:27:25,48.98,µg/m³,moyenne
23,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 10:57:25,24.6,µg/m³,bonne
24,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 11:27:25,25.18,µg/m³,bonne
25,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 11:57:25,42.29,µg/m³,moyenne
26,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 12:27:25,17.23,µg/m³,bonne
27,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 12:57:25,20.29,µg/m³,bonne
28,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 13:27:25,42.44,µg/m³,moyenne
29,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 13:57:25,31.53,µg/m³,bonne
30,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 14:27:25,38.51,µg/m³,moyenne
31,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 14:57:25,29.88,µg/m³,bonne
32,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 15:27:25,30.83,µg/m³,bonne
33,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 15:57:25,80.97,µg/m³,mauvaise
34,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 16:27:25,46.17,µg/m³,moyenne
35,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 16:57:25,70.03,µg/m³,mauvaise
36,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 17:27:25,37.87,µg/m³,moyenne
37,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 17:57:25,48.17,µg/m³,moyenne
38,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 18:27:25,16.55,µg/m³,bonne
39,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 18:57:25,57.58,µg/m³,mauvaise
40,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 19:27:25,70.79,µg/m³,mauvaise
41,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 19:57:25,84.35,µg/m³,mauvaise
42,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 20:27:25,43.37,µg/m³,moyenne
43,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 20:57:25,77.54,µg/m³,mauvaise
44,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 21:27:25,24.9,µg/m³,bonne
45,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 21:57:25,82.86,µg/m³,mauvaise
46,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 22:27:25,67.97,µg/m³,mauvaise
47,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 22:57:25,51.79,µg/m³,moyenne
48,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 23:27:25,83.02,µg/m³,mauvaise
49,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-07 23:57:25,57.19,µg/m³,mauvaise
50,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 00:27:25,71.04,µg/m³,mauvaise
51,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 00:57:25,38.62,µg/m³,moyenne
52,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 01:27:25,69.3,µg/m³,mauvaise
53,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 01:57:25,28.42,µg/m³,bonne
54,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 02:27:25,46.64,µg/m³,moyenne
55,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 02:57:25,15.26,µg/m³,bonne
56,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 03:27:25,25.85,µg/m³,bonne
57,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 03:57:25,57.81,µg/m³,mauvaise
58,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 04:27:25,28.53,µg/m³,bonne
59,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 04:57:25,20.49,µg/m³,bonne
60,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 05:27:25,73.5,µg/m³,mauvaise
61,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 05:57:25,62.07,µg/m³,mauvaise
62,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 06:27:25,56.64,µg/m³,mauvaise
63,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 06:57:25,62.9,µg/m³,mauvaise
64,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 07:27:25,28.9,µg/m³,bonne
65,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 07:57:25,56.81,µg/m³,mauvaise
66,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 08:27:25,54.54,µg/m³,moyenne
67,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 08:57:25,16.02,µg/m³,bonne
68,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 09:27:25,40.7,µg/m³,moyenne
69,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 09:57:25,37.89,µg/m³,moyenne
70,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 10:27:25,74.64,µg/m³,mauvaise
71,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 10:57:25,46.72,µg/m³,moyenne
72,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 11:27:25,71.89,µg/m³,mauvaise
73,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 11:57:25,61.13,µg/m³,mauvaise
74,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 12:27:25,52.03,µg/m³,moyenne
75,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 12:57:25,27.36,µg/m³,bonne
76,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 13:27:25,74.75,µg/m³,mauvaise
77,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 13:57:25,32.64,µg/m³,bonne
78,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 14:27:25,57.0,µg/m³,mauvaise
79,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 14:57:25,84.37,µg/m³,mauvaise
80,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 15:27:25,25.71,µg/m³,bonne
81,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 15:57:25,83.67,µg/m³,mauvaise
82,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 16:27:25,23.16,µg/m³,bonne
83,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 16:57:25,32.16,µg/m³,bonne
84,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 17:27:25,33.26,µg/m³,bonne
85,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 17:57:25,15.46,µg/m³,bonne
86,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 18:27:25,24.52,µg/m³,bonne
87,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 18:57:25,51.38,µg/m³,moyenne
88,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 19:27:25,40.22,µg/m³,moyenne
89,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 19:57:25,45.58,µg/m³,moyenne
90,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 20:27:25,69.43,µg/m³,mauvaise
91,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 20:57:25,61.01,µg/m³,mauvaise
92,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 21:27:25,16.31,µg/m³,bonne
93,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 21:57:25,60.8,µg/m³,mauvaise
94,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 22:27:25,18.43,µg/m³,bonne
95,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 22:57:25,49.04,µg/m³,moyenne
96,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 23:27:25,41.88,µg/m³,moyenne
97,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-08 23:57:25,27.92,µg/m³,bonne
98,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 00:27:25,44.56,µg/m³,moyenne
99,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 00:57:25,77.03,µg/m³,mauvaise
100,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 01:27:25,30.98,µg/m³,bonne
101,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 01:57:25,74.96,µg/m³,mauvaise
102,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 02:27:25,75.55,µg/m³,mauvaise
103,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 02:57:25,67.3,µg/m³,mauvaise
104,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 03:27:25,69.54,µg/m³,mauvaise
105,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 03:57:25,73.7,µg/m³,mauvaise
106,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 04:27:25,73.02,µg/m³,mauvaise
107,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 04:57:25,45.64,µg/m³,moyenne
108,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 05:27:25,50.23,µg/m³,moyenne
109,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 05:57:25,46.13,µg/m³,moyenne
110,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 06:27:25,27.53,µg/m³,bonne
111,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 06:57:25,56.05,µg/m³,mauvaise
112,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 07:27:25,83.35,µg/m³,mauvaise
113,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 07:57:25,38.42,µg/m³,moyenne
114,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 08:27:25,51.53,µg/m³,moyenne
115,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 08:57:25,38.18,µg/m³,moyenne
116,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 09:27:25,19.95,µg/m³,bonne
117,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 09:57:25,70.33,µg/m³,mauvaise
118,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 10:27:25,44.13,µg/m³,moyenne
119,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 10:57:25,73.34,µg/m³,mauvaise
120,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 11:27:25,75.7,µg/m³,mauvaise
121,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 11:57:25,43.08,µg/m³,moyenne
122,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 12:27:25,73.1,µg/m³,mauvaise
123,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 12:57:25,83.55,µg/m³,mauvaise
124,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 13:27:25,26.17,µg/m³,bonne
125,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 13:57:25,52.34,µg/m³,moyenne
126,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 14:27:25,16.56,µg/m³,bonne
127,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 14:57:25,18.29,µg/m³,bonne
128,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 15:27:25,43.5,µg/m³,moyenne
129,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 15:57:25,18.23,µg/m³,bonne
130,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 16:27:25,62.3,µg/m³,mauvaise
131,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 16:57:25,59.03,µg/m³,mauvaise
132,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 17:27:25,62.28,µg/m³,mauvaise
133,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 17:57:25,82.57,µg/m³,mauvaise
134,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 18:27:25,33.69,µg/m³,bonne
135,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 18:57:25,72.98,µg/m³,mauvaise
136,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 19:27:25,70.63,µg/m³,mauvaise
137,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 19:57:25,74.66,µg/m³,mauvaise
138,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 20:27:25,23.01,µg/m³,bonne
139,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 20:57:25,70.4,µg/m³,mauvaise
140,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 21:27:25,68.52,µg/m³,mauvaise
141,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 21:57:25,82.43,µg/m³,mauvaise
142,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 22:27:25,68.16,µg/m³,mauvaise
143,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 22:57:25,69.29,µg/m³,mauvaise
144,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 23:27:25,72.4,µg/m³,mauvaise
145,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-09 23:57:25,56.45,µg/m³,mauvaise
146,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 00:27:25,72.36,µg/m³,mauvaise
147,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 00:57:25,35.27,µg/m³,moyenne
148,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 01:27:25,60.52,µg/m³,mauvaise
149,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 01:57:25,53.32,µg/m³,moyenne
150,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 02:27:25,55.1,µg/m³,mauvaise
151,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 02:57:25,59.58,µg/m³,mauvaise
152,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 03:27:25,50.21,µg/m³,moyenne
153,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 03:57:25,53.17,µg/m³,moyenne
154,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 04:27:25,64.08,µg/m³,mauvaise
155,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 04:57:25,27.85,µg/m³,bonne
156,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 05:27:25,41.68,µg/m³,moyenne
157,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 05:57:25,75.3,µg/m³,mauvaise
158,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 06:27:25,27.38,µg/m³,bonne
159,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 06:57:25,39.77,µg/m³,moyenne
160,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 07:27:25,43.15,µg/m³,moyenne
161,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 07:57:25,64.68,µg/m³,mauvaise
162,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 08:27:25,60.58,µg/m³,mauvaise
163,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 08:57:25,36.18,µg/m³,moyenne
164,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 09:27:25,52.55,µg/m³,moyenne
165,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 09:57:25,78.96,µg/m³,mauvaise
166,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 10:27:25,35.36,µg/m³,moyenne
167,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 10:57:25,50.48,µg/m³,moyenne
168,be180b99-c3ac-4036-9eb2-f3c24dace248,2025-12-10 11:27:25,74.29,µg/m³,mauvaise
