plaque_immatriculation,origine,destination,date_heure_depart,duree_minutes,economie_co2_kg
VA-2024-001,Aéroport Monastir,Palais des Congrès,2025-11-13 07:56:25,24,3.84
VA-2024-001,Port de Sousse,Corniche,2025-11-13 20:01:25,45,2.32
VA-2024-001,Aéroport Monastir,Quartier Khezama,2025-11-13 07:12:25,50,3.79
VA-2024-001,Centre Ville,Zone Industrielle,2025-11-13 09:22:25,36,1.63
VA-2024-001,Sousse Sud,Palais des Congrès,2025-11-13 12:13:25,13,1.98
VA-2024-001,Stade Olympique,Sousse Sud,2025-11-13 13:01:25,49,1.21
VA-2024-001,Campus Universitaire,Aéroport Monastir,2025-11-13 14:44:25,21,1.03
VA-2024-001,Centre Ville,Place Farhat Hached,2025-11-14 08:47:25,41,0.44
VA-2024-001,Sousse Nord,Campus Universitaire,2025-11-14 15:03:25,12,3.07
VA-2024-001,Aéroport Monastir,Corniche,2025-11-14 13:32:25,30,2.75
VA-2024-001,Médina,Corniche,2025-11-14 20:06:25,22,0.72
VA-2024-001,Centre Ville,Quartier Khezama,2025-11-14 16:51:25,14,1.34
VA-2024-001,Place Farhat Hached,Centre Ville,2025-11-14 13:15:25,18,3.82
VA-2024-001,Corniche,Médina,2025-11-15 21:11:25,18,2.75
VA-2024-001,Sousse Nord,Sousse Sud,2025-11-15 08:58:25,32,2.44
VA-2024-001,Gare Ferroviaire,Centre Ville,2025-11-15 08:56:25,24,1.79
VA-2024-001,Sousse Sud,Quartier Khezama,2025-11-15 18:48:25,13,0.81
VA-2024-001,Palais des Congrès,Port de Sousse,2025-11-15 13:39:25,25,0.43
VA-2024-001,Palais des Congrès,Hôpital Universitaire,2025-11-15 12:54:25,47,1.96
VA-2024-001,Sousse Nord,Corniche,2025-11-15 12:21:25,48,2.84
VA-2024-001,Sousse Sud,Stade Olympique,2025-11-15 10:13:25,17,3.41
VA-2024-001,Aéroport Monastir,Port de Sousse,2025-11-16 16:36:25,31,2.38
VA-2024-001,Corniche,Aéroport Monastir,2025-11-16 08:51:25,45,2.48
VA-2024-001,Médina,Campus Universitaire,2025-11-16 15:25:25,44,2.49
VA-2024-001,Centre Ville,Quartier Khezama,2025-11-16 17:29:25,29,1.65
VA-2024-001,Hôpital Universitaire,Aéroport Monastir,2025-11-16 20:54:25,14,2.49
