plaque_immatriculation,type_vehicule,energie_utilisee
VA-2024-001,Navette électrique 12 places,électrique
VA-2024-002,Bus autonome 30 places,hydrogène
VA-2024-003,Véhicule de livraison compact,électrique
VA-2024-004,Minibus 18 places,électrique
VA-2024-005,Camion de collecte déchets,hybride
VA-2024-006,Navette rapide 8 places,électrique
VA-2024-007,Bus articulé 60 places,hydrogène
VA-2024-008,Véhicule utilitaire municipal,électrique
VA-2024-009,Navette aéroport 20 places,hydrogène
VA-2024-010,Bus scolaire autonome,électrique
